posting_id,title,company,location,description,posted_date,salary_range,source
JOB00289,Analytics Associate,Miller Murphy and Craig Digital,Remote,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Machine Learning is a plus.",20-Nov-2025,,NaukriSim
JOB00210,Product Analyst,Wood Tran and Cooper Consulting,Pune,"We are looking for a Product Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",08/10/2025,Rs 4L to 7L per annum,LinkedInSim
JOB00335,Junior Data Analyst,Price LLC Digital,noida ,"Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Azure, Git, NumPy fundamentals encouraged to apply.","19 December, 2025",Rs 4L to 6L per annum,IndeedSim
JOB00353,Data Analyst (Fresher),Smith and Sons Digital,noida ,"The ideal candidate is proficient in Stakeholder Management, Excel, Power BI, SQL and can translate business questions into data-driven answers. Experience with Tableau, GCP is a plus.",May 2026,7-9 LPA,IndeedSim
JOB00618,Operations Analyst,Love-Garcia Solutions,"Mumbai, MH","We are looking for a Operations Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.","15 June, 2026",Rs 6L to 7L per annum,IndeedSim
JOB00566,Data Analyst,Edwards Hines and Jimenez Technologies,"hyderabad, TG","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Stakeholder Management, Excel, Power BI, SQL. Nice to have: PostgreSQL.",2025-08-14,3-6 LPA,LinkedInSim
JOB00648,Junior Data Analyst,Mendoza Group Technologies,Remote,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with Airflow, Git is a plus.","28 October, 2025",,NaukriSim
JOB00464,Junior Data Analyst,Spencer-Garcia Systems,Gurugram,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with Azure, Excel is a plus.",2025-09-11,,NaukriSim
JOB00318,Junior Data Analyst,Burgess-Thompson Analytics,"hyderabad, TG","Junior Data Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Excel, R, VBA exposure.",09-Apr-2026,₹5L - ₹6L PA,InternshalaSim
JOB00400,Product Analyst,Duran LLC Digital,New Delhi,"Product Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for Airflow, Machine Learning exposure.",Dec 2025,,NaukriSim
JOB00189,Data Analyst,Garcia LLC Consulting,Noida,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: AWS, SQL, dbt, Python, Git. Nice to have: Azure, PowerPoint.",Jul 2025,5-7 LPA,InternshalaSim
JOB00539,Analytics Associate,Owens-Holmes Analytics,Noida,"The ideal candidate is proficient in Excel, Communication Skills, VBA, PowerPoint and can translate business questions into data-driven answers. Experience with Stakeholder Management, Machine Learning is a plus.",28-Mar-2026,Rs 5L to 8L per annum,IndeedSim
JOB00577,Associate Data Analyst,Becker Wilson and Hester Systems,Remote,"We are looking for a Associate Data Analyst to join our analytics team. Must have hands-on experience with Statistics, Pandas, A/B Testing, Python, Machine Learning. Prior internship experience preferred.",2025-12-13,Rs 5L to 7L per annum,InternshalaSim
JOB00599,Junior Data Analyst,Hoffman Ltd Softwares,"hyderabad, TG","Join our growing data team! Skills needed: AWS, SQL, dbt, Python, Git. Freshers with strong Communication Skills, NumPy fundamentals encouraged to apply.",31/05/2026,"INR 7,00,000 - 8,00,000",InternshalaSim
JOB00331,Data Analyst,Reid Group Consulting,Gurgaon,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: AWS, SQL, dbt, Python, Git. Nice to have: Azure, GCP.",2025-07-27,,LinkedInSim
JOB00707,Data Analyst - Entry Level,Howard Green and Hunt Digital,pune,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Looker, Stakeholder Management exposure.",06-Jul-2026,,LinkedInSim
JOB00418,Analytics Associate,Thomas and Sons Consulting,Hyderabad,"Join our growing data team! Skills needed: AWS, SQL, dbt, Python, Git. Freshers with strong SQL fundamentals encouraged to apply.",19/01/2026,,NaukriSim
JOB00678,Product Analyst,Allen Inc Solutions,Bengaluru,"The ideal candidate is proficient in ETL, PostgreSQL, Airflow, SQL, Python and can translate business questions into data-driven answers. Experience with Stakeholder Management, Machine Learning is a plus.",27-Oct-2025,,NaukriSim
JOB00197,Business Analyst,Marshall-Petersen Technologies,Chennai,"We are looking for a Business Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",Jul 2026,,LinkedInSim
JOB00287,BI Analyst,Booker Jones and Harrington Digital,Gurgaon,"Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong R fundamentals encouraged to apply.",25-Nov-2025,,IndeedSim
JOB00232,Data Analyst - Entry Level,Choi Garcia and Farmer Labs,remote,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for Stakeholder Management exposure.",Sep 2025,,LinkedInSim
JOB00089,Data Analyst,Suarez LLC Consulting,Mumbai,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Airflow, NumPy fundamentals encouraged to apply.",23/04/2026,,IndeedSim
JOB00388,Operations Analyst,Davis PLC Labs,"hyderabad, TG","The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Advanced Excel is a plus.",08/03/2026,,LinkedInSim
JOB00301,Marketing Data Analyst,Thomas Murray and King Labs,noida ,"Marketing Data Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Data Warehousing, Google Sheets exposure.",2026-07-11,4-7 LPA,LinkedInSim
JOB00422,Junior Data Analyst,Cole Glass and Cunningham Analytics,bangalore,"We are looking for a Junior Data Analyst to join our analytics team. Must have hands-on experience with ETL, PostgreSQL, Airflow, SQL, Python. Prior internship experience preferred.",2026-04-09,Rs 3L to 4L per annum,InternshalaSim
JOB00259,Operations Analyst,Gutierrez-Lopez Analytics,remote,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Communication Skills, Data Warehousing fundamentals encouraged to apply.","13 June, 2026",6-9 LPA,LinkedInSim
JOB00420,Junior Data Analyst,Thompson Ltd Solutions,Hyderabad,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong GCP fundamentals encouraged to apply.","21 July, 2026","INR 4,00,000 - 5,00,000",LinkedInSim
JOB00029,Reporting Analyst,Ross Robinson and Bright Technologies,Bangalore,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Statistics, Pandas, A/B Testing, Python, Machine Learning. Nice to have: Data Warehousing.",Apr 2026,₹6L - ₹9L PA,NaukriSim
JOB00665,Business Analyst,Mitchell and Sons Technologies,bangalore,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with MySQL, NumPy is a plus.",22-Dec-2025,,NaukriSim
JOB00694,Data Analyst - Entry Level,Faulkner-Grant Systems,mumbai ,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: Tableau.",11/10/2025,,NaukriSim
JOB00573,Business Analyst,Luna-Gallagher Digital,Pune,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Airflow, MySQL is a plus.",18-Jun-2026,Rs 5L to 6L per annum,NaukriSim
JOB00442,Data Analyst (Fresher),Rangel LLC Analytics,Gurugram,"The ideal candidate is proficient in Excel, Communication Skills, VBA, PowerPoint and can translate business questions into data-driven answers. Experience with Tableau, GCP, PostgreSQL is a plus.",Nov 2025,₹8L - ₹9L PA,LinkedInSim
JOB00417,Junior Data Analyst,Mullen Brewer and Hernandez Consulting,Noida,"The ideal candidate is proficient in Stakeholder Management, Excel, Power BI, SQL and can translate business questions into data-driven answers. Experience with Statistics is a plus.","27 July, 2025",4-6 LPA,IndeedSim
JOB00491,Associate Data Analyst,Fuller Ingram and Moss Solutions,"Mumbai, MH","Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Communication Skills, Statistics fundamentals encouraged to apply.",04-May-2026,8-9 LPA,NaukriSim
JOB00534,Data Analyst - Entry Level,Mcdonald-Bird Analytics,Remote,"The ideal candidate is proficient in Stakeholder Management, Excel, Power BI, SQL and can translate business questions into data-driven answers. Experience with Airflow, Google Sheets is a plus.",19-Jan-2026,,NaukriSim
JOB00103,Data Analyst (Fresher),Mckee Gardner and Davenport Digital,"Bengaluru, Karnataka","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Statistics, Pandas, A/B Testing, Python, Machine Learning. Nice to have: NumPy, Snowflake.",11/01/2026,₹6L - ₹7L PA,NaukriSim
JOB00226,Marketing Data Analyst,Hernandez PLC Solutions,Gurugram,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",19-Apr-2026,Rs 7L to 9L per annum,LinkedInSim
JOB00730,Reporting Analyst,Li Craig and Drake Labs,pune,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: Power BI.",08-Nov-2025,,LinkedInSim
JOB00196,Associate Data Analyst,Nelson Morton and Medina Consulting,New Delhi,"Join our growing data team! Skills needed: Excel, Communication Skills, VBA, PowerPoint. Freshers with strong Airflow, AWS, Data Warehousing fundamentals encouraged to apply.",26-Apr-2026,,InternshalaSim
JOB00720,Reporting Analyst,Bernard Warren and Combs Analytics,Mumbai,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong Looker, Airflow, AWS fundamentals encouraged to apply.",2026-06-17,Rs 4L to 7L per annum,LinkedInSim
JOB00084,Product Analyst,Edwards Baker and Anderson Digital,Remote - India,"Product Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for SQL exposure.",09/05/2026,"INR 5,00,000 - 7,00,000",NaukriSim
JOB00033,Data Analyst (Fresher),Ferrell Rice and Maddox Technologies,"hyderabad, TG","Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Communication Skills fundamentals encouraged to apply.",23-Jan-2026,₹4L - ₹5L PA,LinkedInSim
JOB00350,Operations Analyst,Smith Garrison and Thomas Solutions,Bangalore,"We are looking for a Operations Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",24/06/2026,7-8 LPA,IndeedSim
JOB00175,Product Analyst,Ramirez-Bean Digital,pune,"We are looking for a Product Analyst to join our analytics team. Must have hands-on experience with Tableau, Data Warehousing, Snowflake, SQL. Prior internship experience preferred.",18/04/2026,"INR 4,00,000 - 5,00,000",InternshalaSim
JOB00205,Marketing Data Analyst,Miller Ltd Consulting,Pune,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with AWS, SQL, dbt, Python, Git. Prior internship experience preferred.",07-Nov-2025,,InternshalaSim
JOB00504,Data Analyst (Fresher),Jimenez Glass and Stone Systems,Gurugram,,"20 August, 2025",8-11 LPA,LinkedInSim
JOB00482,Data Analyst (Fresher),Carlson-Smith Solutions,noida ,"We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Statistics, Pandas, A/B Testing, Python, Machine Learning. Prior internship experience preferred.",Jun 2026,,InternshalaSim
JOB00356,Marketing Data Analyst,Strickland-Palmer Technologies,Remote,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",2026-03-15,,InternshalaSim
JOB00108,Junior Data Analyst,Dickson-Brady Labs,Pune,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Excel, Communication Skills, VBA, PowerPoint. Nice to have: Tableau, NumPy.",12-Feb-2026,₹7L - ₹10L PA,NaukriSim
JOB00031,Data Analyst,Burton Ltd Consulting,"Mumbai, MH","We are looking for a Data Analyst to join our analytics team. Must have hands-on experience with AWS, SQL, dbt, Python, Git. Prior internship experience preferred.","21 January, 2026",6-9 LPA,LinkedInSim
JOB00260,Reporting Analyst,Dean-Jimenez Systems,Gurugram,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Excel, Communication Skills, VBA, PowerPoint. Nice to have: Airflow, NumPy.",02-Dec-2025,,LinkedInSim
JOB00336,Reporting Analyst,Avery Horton and Fernandez Softwares,Mumbai,"Reporting Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for dbt exposure.","18 February, 2026",8-11 LPA,LinkedInSim
JOB00419,Associate Data Analyst,Morrison Ltd Softwares,Remote,"Associate Data Analyst needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for dbt, AWS, Excel exposure.","17 April, 2026","INR 8,00,000 - 10,00,000",LinkedInSim
JOB00654,BI Analyst,Leach Harris and Herrera Digital,remote,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: Stakeholder Management, VBA, A/B Testing.",Sep 2025,Rs 6L to 9L per annum,InternshalaSim
JOB00657,BI Analyst,Burns Nolan and Griffin Systems,Gurgaon,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with AWS is a plus.","10 May, 2026",5-7 LPA,LinkedInSim
JOB00666,Data Analyst,Cannon Ltd Labs,Delhi,"Data Analyst needed for a fast-paced fintech startup. Core stack: Tableau, Data Warehousing, Snowflake, SQL. Bonus points for Azure, AWS, Advanced Excel exposure.",2026-01-05,,IndeedSim
JOB00489,Junior Data Analyst,King-Smith Technologies,Remote - India,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: Stakeholder Management, Power BI.",20-Jun-2026,"INR 3,00,000 - 4,00,000",NaukriSim
JOB00042,Junior Data Analyst,George Group Digital,Delhi,"Junior Data Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Azure, Looker exposure.",2026-03-16,"INR 6,00,000 - 9,00,000",InternshalaSim
JOB00017,Reporting Analyst,James Group Softwares,"Mumbai, MH","Reporting Analyst needed for a fast-paced fintech startup. Core stack: Tableau, Data Warehousing, Snowflake, SQL. Bonus points for Airflow exposure.",Sep 2025,,InternshalaSim
JOB00170,Marketing Data Analyst,Hooper PLC Labs,Noida,"Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong MySQL fundamentals encouraged to apply.",Feb 2026,,LinkedInSim
JOB00701,Reporting Analyst,Turner-Stout Analytics,Mumbai,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Stakeholder Management, Excel, Power BI, SQL. Nice to have: Looker, Azure.","26 March, 2026",,IndeedSim
JOB00625,Analytics Associate,Butler and Sons Technologies,"Bengaluru, Karnataka","The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Looker, Tableau, PowerPoint is a plus.",2026-01-01,,IndeedSim
JOB00341,Data Analyst - Entry Level,Garcia-Jennings Systems,noida ,,2025-10-12,,IndeedSim
JOB00594,Analytics Associate,Smith LLC Systems,"hyderabad, TG","We are looking for a Analytics Associate to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",11-Feb-2026,8-10 LPA,InternshalaSim
JOB00540,Data Analyst,Humphrey PLC Analytics,Gurgaon,"Data Analyst needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for Azure, AWS exposure.",May 2026,"INR 8,00,000 - 11,00,000",InternshalaSim
JOB00548,Analytics Associate,Moore Hopkins and Le Solutions,Remote,,08/11/2025,₹5L - ₹6L PA,IndeedSim
JOB00499,Junior Data Analyst,Kennedy Johnson and Lucas Solutions,Chennai,"Junior Data Analyst needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for R exposure.",28-Feb-2026,₹3L - ₹6L PA,LinkedInSim
JOB00383,BI Analyst,Austin Day and Johnson Systems,Delhi,"Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Looker fundamentals encouraged to apply.",2025-09-30,,InternshalaSim
JOB00709,Product Analyst,Harrison Franco and Rocha Technologies,remote,,"04 October, 2025",Rs 7L to 9L per annum,LinkedInSim
JOB00435,Analytics Associate,Kim Gonzales and Mills Digital,New Delhi,"The ideal candidate is proficient in Stakeholder Management, Excel, Power BI, SQL and can translate business questions into data-driven answers. Experience with Azure, Google Sheets is a plus.",May 2026,6-8 LPA,LinkedInSim
JOB00511,Associate Data Analyst,Mendez-Graham Technologies,"hyderabad, TG","Join our growing data team! Skills needed: ETL, PostgreSQL, Airflow, SQL, Python. Freshers with strong Data Warehousing fundamentals encouraged to apply.",07/03/2026,₹6L - ₹9L PA,InternshalaSim
JOB00300,Product Analyst,Harvey-Allen Consulting,Gurgaon,"We are looking for a Product Analyst to join our analytics team. Must have hands-on experience with ETL, PostgreSQL, Airflow, SQL, Python. Prior internship experience preferred.",2026-02-26,4-7 LPA,LinkedInSim
JOB00072,Associate Data Analyst,House-Glover Analytics,Gurugram,"Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong VBA, MySQL fundamentals encouraged to apply.",2025-10-31,Rs 7L to 9L per annum,NaukriSim
JOB00083,BI Analyst,Donovan-Harris Technologies,delhi ncr,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with Power BI, Google Sheets is a plus.",Oct 2025,4-5 LPA,NaukriSim
JOB00367,Analytics Associate,Le Lewis and Hayes Systems,"Mumbai, MH","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: ETL, PostgreSQL, Airflow, SQL, Python. Nice to have: Tableau.",2025-09-16,₹6L - ₹8L PA,InternshalaSim
JOB00634,Reporting Analyst,Higgins-Smith Digital,"hyderabad, TG","Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Stakeholder Management, Excel, Power BI, SQL. Nice to have: ETL, Data Warehousing.",Dec 2025,,IndeedSim
JOB00672,Marketing Data Analyst,Avila LLC Systems,Hyderabad,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Statistics, Pandas, A/B Testing, Python, Machine Learning. Nice to have: Snowflake.",28/01/2026,₹7L - ₹9L PA,LinkedInSim
JOB00537,Data Analyst (Fresher),Mendoza Jenkins and Ortiz Systems,Remote - India,"We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Tableau, Data Warehousing, Snowflake, SQL. Prior internship experience preferred.",07-Sep-2025,"INR 3,00,000 - 6,00,000",NaukriSim
JOB00275,Product Analyst,Monroe-Carpenter Solutions,"Bengaluru, Karnataka","Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Statistics, PostgreSQL fundamentals encouraged to apply.",2025-09-24,5-6 LPA,InternshalaSim
JOB00408,Data Analyst (Fresher),Roberts-Sullivan Labs,New Delhi,"Data Analyst (Fresher) needed for a fast-paced fintech startup. Core stack: Stakeholder Management, Excel, Power BI, SQL. Bonus points for Advanced Excel, Data Warehousing exposure.",11-Sep-2025,,IndeedSim
JOB00627,Marketing Data Analyst,Lopez-Curry Analytics,pune,"Join our growing data team! Skills needed: Tableau, Data Warehousing, Snowflake, SQL. Freshers with strong Python fundamentals encouraged to apply.",2026-05-23,,InternshalaSim
JOB00187,Data Analyst (Fresher),Sanders-Espinoza Softwares,Delhi,"We are looking for a Data Analyst (Fresher) to join our analytics team. Must have hands-on experience with Tableau, Data Warehousing, Snowflake, SQL. Prior internship experience preferred.","11 May, 2026","INR 4,00,000 - 7,00,000",IndeedSim
JOB00396,Junior Data Analyst,Reed Inc Solutions,bangalore,"We are looking for a Junior Data Analyst to join our analytics team. Must have hands-on experience with ETL, PostgreSQL, Airflow, SQL, Python. Prior internship experience preferred.",03-Dec-2025,,IndeedSim
JOB00333,Operations Analyst,Torres Group Consulting,"Bengaluru, Karnataka","Operations Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for Data Warehousing exposure.",May 2026,7-10 LPA,InternshalaSim
JOB00203,Reporting Analyst,Peterson-Beard Technologies,Bengaluru,"Reporting Analyst needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for GCP exposure.",2025-08-19,,IndeedSim
JOB00241,Analytics Associate,Jones and Sons Softwares,Bangalore,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong NumPy, Communication Skills, MySQL fundamentals encouraged to apply.",31/07/2025,₹4L - ₹6L PA,NaukriSim
JOB00345,Product Analyst,Harper Smith and Buchanan Consulting,Bengaluru,"The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with Azure, Advanced Excel is a plus.",2025-10-28,Rs 4L to 6L per annum,NaukriSim
JOB00613,Business Analyst,Scott Mendoza and Harris Technologies,"hyderabad, TG","Join our growing data team! Skills needed: Statistics, Pandas, A/B Testing, Python, Machine Learning. Freshers with strong dbt fundamentals encouraged to apply.",2025-12-10,Rs 6L to 7L per annum,IndeedSim
JOB00428,Operations Analyst,Jones-Lin Consulting,Remote - India,"Operations Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Excel, GCP, A/B Testing exposure.",13-Mar-2026,₹6L - ₹8L PA,NaukriSim
JOB00505,Analytics Associate,Acosta Inc Consulting,noida ,"Analytics Associate needed for a fast-paced fintech startup. Core stack: AWS, SQL, dbt, Python, Git. Bonus points for NumPy exposure.",2026-07-16,₹3L - ₹5L PA,NaukriSim
JOB00313,Marketing Data Analyst,Robinson-Lee Labs,Delhi,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with AWS, SQL, dbt, Python, Git. Prior internship experience preferred.","06 January, 2026",₹4L - ₹5L PA,IndeedSim
JOB00649,Analytics Associate,Zhang Brooks and Miles Systems,Chennai,,21-Sep-2025,,IndeedSim
JOB00211,Business Analyst,Pierce Bell and Chavez Systems,delhi ncr,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with Power BI, PostgreSQL is a plus.",11-Dec-2025,"INR 6,00,000 - 7,00,000",IndeedSim
JOB00079,Data Analyst,Jones Inc Consulting,"hyderabad, TG","The ideal candidate is proficient in AWS, SQL, dbt, Python, Git and can translate business questions into data-driven answers. Experience with A/B Testing, Snowflake is a plus.",2025-11-10,,IndeedSim
JOB00526,Reporting Analyst,Hayes Ltd Consulting,Remote - India,"We are looking for a Reporting Analyst to join our analytics team. Must have hands-on experience with Excel, Communication Skills, VBA, PowerPoint. Prior internship experience preferred.",19/10/2025,,NaukriSim
JOB00354,Marketing Data Analyst,Morris Thompson and Williams Consulting,Bangalore,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with Tableau, Data Warehousing, Snowflake, SQL. Prior internship experience preferred.","01 October, 2025","INR 7,00,000 - 8,00,000",LinkedInSim
JOB00381,Data Analyst - Entry Level,Richardson Farmer and Andrews Technologies,Remote - India,"The ideal candidate is proficient in Tableau, Data Warehousing, Snowflake, SQL and can translate business questions into data-driven answers. Experience with dbt, ETL, Advanced Excel is a plus.",2025-08-10,8-9 LPA,NaukriSim
JOB00545,Reporting Analyst,Jacobson Singleton and King Labs,"hyderabad, TG","We are looking for a Reporting Analyst to join our analytics team. Must have hands-on experience with Statistics, Pandas, A/B Testing, Python, Machine Learning. Prior internship experience preferred.",07-May-2026,,LinkedInSim
JOB00252,Operations Analyst,Graham Olsen and Costa Analytics,"hyderabad, TG","Operations Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for AWS, Statistics, SQL exposure.",27-Apr-2026,,NaukriSim
JOB00538,Junior Data Analyst,Jones Compton and Day Digital,Gurgaon,"Junior Data Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for Tableau, Statistics, SQL exposure.",2025-07-26,"INR 4,00,000 - 5,00,000",LinkedInSim
JOB00052,Reporting Analyst,Walker LLC Analytics,remote,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Machine Learning, Snowflake fundamentals encouraged to apply.",30/12/2025,,LinkedInSim
JOB00432,Data Analyst,Lopez Jacobs and Mason Digital,Bengaluru,"Join our growing data team! Skills needed: Stakeholder Management, Excel, Power BI, SQL. Freshers with strong Statistics, Git fundamentals encouraged to apply.",2025-12-20,₹4L - ₹7L PA,InternshalaSim
JOB00565,Business Analyst,Li PLC Labs,Mumbai,"We are looking for a Business Analyst to join our analytics team. Must have hands-on experience with Stakeholder Management, Excel, Power BI, SQL. Prior internship experience preferred.",2026-06-12,6-7 LPA,NaukriSim
JOB00206,Data Analyst - Entry Level,Freeman-Chang Analytics,Gurugram,"Responsibilities include building dashboards, writing queries, and reporting to leadership. Required: Tableau, Data Warehousing, Snowflake, SQL. Nice to have: ETL, VBA, A/B Testing.",06-Jul-2026,6-8 LPA,IndeedSim
JOB00096,Data Analyst - Entry Level,Harris-Walters Solutions,remote,"Data Analyst - Entry Level needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for Communication Skills exposure.","06 April, 2026",,LinkedInSim
JOB00180,Junior Data Analyst,Howell and Sons Labs,remote,"Junior Data Analyst needed for a fast-paced fintech startup. Core stack: Excel, Communication Skills, VBA, PowerPoint. Bonus points for Git exposure.",2025-12-05,Rs 7L to 9L per annum,NaukriSim
JOB00003,Data Analyst - Entry Level,Mcclain Miller and Henderson Softwares,remote,"The ideal candidate is proficient in Statistics, Pandas, A/B Testing, Python, Machine Learning and can translate business questions into data-driven answers. Experience with VBA is a plus.",Jul 2025,"INR 4,00,000 - 5,00,000",NaukriSim
JOB00055,Associate Data Analyst,Jones Inc Digital,remote,"We are looking for a Associate Data Analyst to join our analytics team. Must have hands-on experience with Statistics, Pandas, A/B Testing, Python, Machine Learning. Prior internship experience preferred.",Mar 2026,,InternshalaSim
JOB00406,Data Analyst,Atkins PLC Technologies,Chennai,"Data Analyst needed for a fast-paced fintech startup. Core stack: ETL, PostgreSQL, Airflow, SQL, Python. Bonus points for AWS, Pandas exposure.",Jul 2026,₹6L - ₹8L PA,InternshalaSim
JOB00640,BI Analyst,Boyle-Smith Technologies,Remote,"BI Analyst needed for a fast-paced fintech startup. Core stack: Statistics, Pandas, A/B Testing, Python, Machine Learning. Bonus points for Stakeholder Management exposure.",2025-09-15,₹6L - ₹8L PA,NaukriSim
JOB00506,Marketing Data Analyst,Morrison-Short Softwares,Gurgaon,"We are looking for a Marketing Data Analyst to join our analytics team. Must have hands-on experience with ETL, PostgreSQL, Airflow, SQL, Python. Prior internship experience preferred.","09 July, 2026",,LinkedInSim
JOB00236,Associate Data Analyst,Harrison Johnson and Roberts Softwares,Gurugram,"We are looking for a Associate Data Analyst to join our analytics team. Must have hands-on experience with Tableau, Data Warehousing, Snowflake, SQL. Prior internship experience preferred.",29-Nov-2025,7-9 LPA,InternshalaSim
